"Date Administered","AgeGroupVacc","7-day_avg_group_cases_per_100k","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup"
"2021 Oct 24 12:00:00 AM","2 - 4 Years","21.16925033249","0%","0%"
"2021 Oct 24 12:00:00 AM","5 - 11 Years","26.06785027473","0.7%","0.4%"
"2021 Oct 24 12:00:00 AM","12 - 17 Years","22.90557194384","59.4%","51%"
"2021 Oct 24 12:00:00 AM","18 - 24 Years","20.63730122965","66.2%","56.6%"
"2021 Oct 24 12:00:00 AM","25 - 49 Years","24.02032818539","72.2%","63.6%"
"2021 Oct 24 12:00:00 AM","50 - 64 Years","19.40179706214","84.2%","76.5%"
"2021 Oct 24 12:00:00 AM","65+ Years","16.01737422772","95%","86.3%"
"2021 Oct 23 12:00:00 AM","<2 Years","9.16241949056","0%","0%"
"2021 Oct 23 12:00:00 AM","2 - 4 Years","21.2545170956","0%","0%"
"2021 Oct 23 12:00:00 AM","5 - 11 Years","26.04374453151","0.7%","0.4%"
"2021 Oct 23 12:00:00 AM","12 - 17 Years","23.0471934901","59.4%","51%"
"2021 Oct 23 12:00:00 AM","18 - 24 Years","20.71293903051","66.2%","56.5%"
"2021 Oct 23 12:00:00 AM","25 - 49 Years","24.07363643787","72.2%","63.6%"
"2021 Oct 23 12:00:00 AM","50 - 64 Years","19.36842436385","84.2%","76.4%"
"2021 Oct 23 12:00:00 AM","65+ Years","16.05622120288","95%","86.2%"
"2021 Oct 22 12:00:00 AM","<2 Years","9.24911445736","0%","0%"
"2021 Oct 22 12:00:00 AM","2 - 4 Years","21.46946039426","0%","0%"
"2021 Oct 22 12:00:00 AM","5 - 11 Years","26.17180629235","0.7%","0.4%"
"2021 Oct 22 12:00:00 AM","12 - 17 Years","23.32072865405","59.3%","50.9%"
"2021 Oct 22 12:00:00 AM","18 - 24 Years","20.75926718354","66.1%","56.5%"
"2021 Oct 22 12:00:00 AM","25 - 49 Years","24.15313584168","72.1%","63.5%"
"2021 Oct 22 12:00:00 AM","50 - 64 Years","19.45310474794","84.1%","76.4%"
"2021 Oct 22 12:00:00 AM","65+ Years","16.10775290462","95%","86.2%"
"2021 Oct 21 12:00:00 AM","<2 Years","9.16985048772","0%","0%"
"2021 Oct 21 12:00:00 AM","2 - 4 Years","21.0679960513","0%","0%"
"2021 Oct 21 12:00:00 AM","5 - 11 Years","25.5852332074","0.7%","0.4%"
"2021 Oct 21 12:00:00 AM","12 - 17 Years","22.75081614127","59.2%","50.8%"
"2021 Oct 21 12:00:00 AM","18 - 24 Years","20.0113984275","66%","56.4%"
"2021 Oct 21 12:00:00 AM","25 - 49 Years","23.3552316756","72%","63.4%"
"2021 Oct 21 12:00:00 AM","50 - 64 Years","18.78701293319","84%","76.3%"
"2021 Oct 21 12:00:00 AM","65+ Years","15.6558595201","95%","86.1%"
"2021 Oct 20 12:00:00 AM","<2 Years","9.15622699294","0%","0%"
"2021 Oct 20 12:00:00 AM","2 - 4 Years","21.37175889487","0%","0%"
"2021 Oct 20 12:00:00 AM","5 - 11 Years","25.93426428107","0.7%","0.4%"
"2021 Oct 20 12:00:00 AM","12 - 17 Years","23.37669200701","59.2%","50.7%"
"2021 Oct 20 12:00:00 AM","18 - 24 Years","20.18961999578","66%","56.3%"
"2021 Oct 20 12:00:00 AM","25 - 49 Years","23.61423306108","72%","63.3%"
"2021 Oct 20 12:00:00 AM","50 - 64 Years","18.86919604053","84%","76.3%"
"2021 Oct 20 12:00:00 AM","65+ Years","15.73989583371","94.9%","86.1%"
"2021 Oct 19 12:00:00 AM","<2 Years","9.40516539759","0%","0%"
"2021 Oct 19 12:00:00 AM","2 - 4 Years","21.89401781891","0%","0%"
"2021 Oct 19 12:00:00 AM","5 - 11 Years","26.52284617796","0.7%","0.4%"
"2021 Oct 19 12:00:00 AM","12 - 17 Years","24.35890595688","59.1%","50.6%"
"2021 Oct 19 12:00:00 AM","18 - 24 Years","20.8911605988","65.9%","56.2%"
"2021 Oct 19 12:00:00 AM","25 - 49 Years","24.2929542607","71.9%","63.2%"
"2021 Oct 19 12:00:00 AM","50 - 64 Years","19.36297576005","83.9%","76.2%"
"2021 Oct 19 12:00:00 AM","65+ Years","16.10669584407","94.8%","86.1%"
"2021 Oct 18 12:00:00 AM","<2 Years","9.37544140897","0%","0%"
"2021 Oct 18 12:00:00 AM","2 - 4 Years","22.14981810823","0%","0%"
"2021 Oct 18 12:00:00 AM","5 - 11 Years","26.83622083978","0.7%","0.4%"
"2021 Oct 18 12:00:00 AM","12 - 17 Years","25.0698689613","59%","50.5%"
"2021 Oct 18 12:00:00 AM","18 - 24 Years","21.20505747239","65.8%","56.1%"
"2021 Oct 18 12:00:00 AM","25 - 49 Years","24.63502657063","71.8%","63.2%"
"2021 Oct 18 12:00:00 AM","50 - 64 Years","19.54209861003","83.9%","76.2%"
"2021 Oct 18 12:00:00 AM","65+ Years","16.34109902073","94.7%","86%"
"2021 Oct 17 12:00:00 AM","<2 Years","9.37915690755","0%","0%"
"2021 Oct 17 12:00:00 AM","2 - 4 Years","22.30614050726","0%","0%"
"2021 Oct 17 12:00:00 AM","5 - 11 Years","27.01199188408","0.7%","0.4%"
"2021 Oct 17 12:00:00 AM","12 - 17 Years","25.38052267567","59%","50.5%"
"2021 Oct 17 12:00:00 AM","18 - 24 Years","21.59837403689","65.7%","56%"
"2021 Oct 17 12:00:00 AM","25 - 49 Years","24.96135773405","71.7%","63.1%"
"2021 Oct 17 12:00:00 AM","50 - 64 Years","19.73370784372","83.8%","76.1%"
"2021 Oct 17 12:00:00 AM","65+ Years","16.60827107438","94.7%","86%"
"2021 Oct 16 12:00:00 AM","<2 Years","9.54140034541","0%","0%"
"2021 Oct 16 12:00:00 AM","2 - 4 Years","22.58858666006","0%","0%"
"2021 Oct 16 12:00:00 AM","5 - 11 Years","27.29925199075","0.7%","0.4%"
"2021 Oct 16 12:00:00 AM","12 - 17 Years","25.85335590271","58.9%","50.4%"
"2021 Oct 16 12:00:00 AM","18 - 24 Years","21.9585990635","65.7%","56%"
"2021 Oct 16 12:00:00 AM","25 - 49 Years","25.27644522138","71.7%","63%"
"2021 Oct 16 12:00:00 AM","50 - 64 Years","19.99092734819","83.8%","76.1%"
"2021 Oct 16 12:00:00 AM","65+ Years","16.81941891896","94.6%","86%"
"2021 Oct 15 12:00:00 AM","<2 Years","9.69992828468","0%","0%"
"2021 Oct 15 12:00:00 AM","2 - 4 Years","22.78931883154","0%","0%"
"2021 Oct 15 12:00:00 AM","5 - 11 Years","27.77483821631","0.7%","0.4%"
"2021 Oct 15 12:00:00 AM","12 - 17 Years","26.39300252052","58.9%","50.3%"
"2021 Oct 15 12:00:00 AM","18 - 24 Years","22.45355392291","65.6%","55.9%"
"2021 Oct 15 12:00:00 AM","25 - 49 Years","25.67023844128","71.6%","63%"
"2021 Oct 15 12:00:00 AM","50 - 64 Years","20.26222241248","83.7%","76%"
"2021 Oct 15 12:00:00 AM","65+ Years","17.0530293002","94.6%","86%"
"2021 Oct 14 12:00:00 AM","<2 Years","10.2659225679","0%","0%"
"2021 Oct 14 12:00:00 AM","2 - 4 Years","24.11805922331","0%","0%"
"2021 Oct 14 12:00:00 AM","5 - 11 Years","29.49438123249","0.7%","0.4%"
"2021 Oct 14 12:00:00 AM","12 - 17 Years","28.34486721858","58.8%","50.2%"
"2021 Oct 14 12:00:00 AM","18 - 24 Years","24.15114981607","65.5%","55.8%"
"2021 Oct 14 12:00:00 AM","25 - 49 Years","27.53735006333","71.5%","62.9%"
"2021 Oct 14 12:00:00 AM","50 - 64 Years","21.62119501067","83.7%","76%"
"2021 Oct 14 12:00:00 AM","65+ Years","18.13889474875","94.5%","85.9%"
"2021 Oct 13 12:00:00 AM","<2 Years","10.74026788621","0%","0%"
"2021 Oct 13 12:00:00 AM","2 - 4 Years","24.74512521033","0%","0%"
"2021 Oct 13 12:00:00 AM","5 - 11 Years","30.51385328939","0.7%","0.4%"
"2021 Oct 13 12:00:00 AM","12 - 17 Years","29.6577217946","58.7%","50.1%"
"2021 Oct 13 12:00:00 AM","18 - 24 Years","25.16138719386","65.4%","55.7%"
"2021 Oct 13 12:00:00 AM","25 - 49 Years","28.70563414735","71.5%","62.8%"
"2021 Oct 13 12:00:00 AM","50 - 64 Years","22.53928475124","83.6%","75.9%"
"2021 Oct 13 12:00:00 AM","65+ Years","18.71710686883","94.4%","85.9%"
"2021 Oct 12 12:00:00 AM","<2 Years","10.84058634778","0%","0%"
"2021 Oct 12 12:00:00 AM","2 - 4 Years","24.94763377272","0%","0%"
"2021 Oct 12 12:00:00 AM","5 - 11 Years","30.91662008232","0.7%","0.4%"
"2021 Oct 12 12:00:00 AM","12 - 17 Years","30.20307895863","58.6%","50%"
"2021 Oct 12 12:00:00 AM","18 - 24 Years","25.39775532157","65.3%","55.6%"
"2021 Oct 12 12:00:00 AM","25 - 49 Years","28.98632921374","71.4%","62.7%"
"2021 Oct 12 12:00:00 AM","50 - 64 Years","22.69229970801","83.5%","75.8%"
"2021 Oct 12 12:00:00 AM","65+ Years","18.85188208878","94.4%","85.8%"
"2021 Oct 11 12:00:00 AM","<2 Years","11.07466275813","0%","0%"
"2021 Oct 11 12:00:00 AM","2 - 4 Years","25.20876323473","0%","0%"
"2021 Oct 11 12:00:00 AM","5 - 11 Years","31.39973935263","0.7%","0.4%"
"2021 Oct 11 12:00:00 AM","12 - 17 Years","30.87007075715","58.5%","49.9%"
"2021 Oct 11 12:00:00 AM","18 - 24 Years","25.87427346701","65.3%","55.5%"
"2021 Oct 11 12:00:00 AM","25 - 49 Years","29.52946490769","71.3%","62.6%"
"2021 Oct 11 12:00:00 AM","50 - 64 Years","23.02511859022","83.5%","75.8%"
"2021 Oct 11 12:00:00 AM","65+ Years","19.07862157645","94.3%","85.8%"
"2021 Oct 10 12:00:00 AM","<2 Years","11.39295713621","0%","0%"
"2021 Oct 10 12:00:00 AM","2 - 4 Years","25.94241267564","0%","0%"
"2021 Oct 10 12:00:00 AM","5 - 11 Years","32.60653312246","0.7%","0.4%"
"2021 Oct 10 12:00:00 AM","12 - 17 Years","32.37822601391","58.5%","49.8%"
"2021 Oct 10 12:00:00 AM","18 - 24 Years","26.5857415314","65.2%","55.4%"
"2021 Oct 10 12:00:00 AM","25 - 49 Years","30.42816532286","71.2%","62.5%"
"2021 Oct 10 12:00:00 AM","50 - 64 Years","23.52934146703","83.4%","75.7%"
"2021 Oct 10 12:00:00 AM","65+ Years","19.53236481693","94.2%","85.7%"
"2021 Oct 09 12:00:00 AM","<2 Years","11.42020412578","0%","0%"
"2021 Oct 09 12:00:00 AM","2 - 4 Years","26.0791947748","0%","0%"
"2021 Oct 09 12:00:00 AM","5 - 11 Years","32.84156411883","0.7%","0.4%"
"2021 Oct 09 12:00:00 AM","12 - 17 Years","32.72542722409","58.4%","49.7%"
"2021 Oct 09 12:00:00 AM","18 - 24 Years","26.70250738648","65.1%","55.3%"
"2021 Oct 09 12:00:00 AM","25 - 49 Years","30.52195080923","71.2%","62.4%"
"2021 Oct 09 12:00:00 AM","50 - 64 Years","23.56407631627","83.4%","75.7%"
"2021 Oct 09 12:00:00 AM","65+ Years","19.55033484626","94.2%","85.7%"
"2021 Oct 08 12:00:00 AM","<2 Years","11.50070659494","0%","0%"
"2021 Oct 08 12:00:00 AM","2 - 4 Years","26.32433671873","0%","0%"
"2021 Oct 08 12:00:00 AM","5 - 11 Years","33.25286836247","0.7%","0.4%"
"2021 Oct 08 12:00:00 AM","12 - 17 Years","33.28734497216","58.3%","49.6%"
"2021 Oct 08 12:00:00 AM","18 - 24 Years","27.08542375336","65.1%","55.2%"
"2021 Oct 08 12:00:00 AM","25 - 49 Years","31.01191052925","71.1%","62.4%"
"2021 Oct 08 12:00:00 AM","50 - 64 Years","23.85852794672","83.3%","75.6%"
"2021 Oct 08 12:00:00 AM","65+ Years","19.73029940466","94.1%","85.7%"
"2021 Oct 07 12:00:00 AM","<2 Years","11.99362940614","0%","0%"
"2021 Oct 07 12:00:00 AM","2 - 4 Years","27.48076719339","0%","0%"
"2021 Oct 07 12:00:00 AM","5 - 11 Years","34.74039360018","0.7%","0.4%"
"2021 Oct 07 12:00:00 AM","12 - 17 Years","34.88230053146","58.2%","49.4%"
"2021 Oct 07 12:00:00 AM","18 - 24 Years","28.09566113116","65%","55.1%"
"2021 Oct 07 12:00:00 AM","25 - 49 Years","32.1586332109","71%","62.2%"
"2021 Oct 07 12:00:00 AM","50 - 64 Years","24.7323477814","83.3%","75.5%"
"2021 Oct 07 12:00:00 AM","65+ Years","20.37404927875","94%","85.6%"
"2021 Oct 06 12:00:00 AM","<2 Years","12.20665132455","0%","0%"
"2021 Oct 06 12:00:00 AM","2 - 4 Years","28.393832115","0%","0%"
"2021 Oct 06 12:00:00 AM","5 - 11 Years","35.61724000972","0.7%","0.4%"
"2021 Oct 06 12:00:00 AM","12 - 17 Years","35.74459301071","58.1%","49.3%"
"2021 Oct 06 12:00:00 AM","18 - 24 Years","29.07517065235","64.9%","55%"
"2021 Oct 06 12:00:00 AM","25 - 49 Years","32.99066524085","70.9%","62.1%"
"2021 Oct 06 12:00:00 AM","50 - 64 Years","25.23861388464","83.2%","75.5%"
"2021 Oct 06 12:00:00 AM","65+ Years","20.85950433569","93.9%","85.6%"
"2021 Oct 05 12:00:00 AM","<2 Years","12.90640355652","0%","0%"
"2021 Oct 05 12:00:00 AM","2 - 4 Years","30.26970090338","0%","0%"
"2021 Oct 05 12:00:00 AM","5 - 11 Years","37.59692417145","0.7%","0.4%"
"2021 Oct 05 12:00:00 AM","12 - 17 Years","37.84150558277","58.1%","49.2%"
"2021 Oct 05 12:00:00 AM","18 - 24 Years","31.15899206617","64.8%","54.8%"
"2021 Oct 05 12:00:00 AM","25 - 49 Years","35.12286306132","70.8%","62%"
"2021 Oct 05 12:00:00 AM","50 - 64 Years","26.63368348301","83.1%","75.4%"
"2021 Oct 05 12:00:00 AM","65+ Years","21.8732254018","93.8%","85.5%"
"2021 Oct 04 12:00:00 AM","<2 Years","13.44019685207","0%","0%"
"2021 Oct 04 12:00:00 AM","2 - 4 Years","32.03365706518","0%","0%"
"2021 Oct 04 12:00:00 AM","5 - 11 Years","39.34760377261","0.7%","0.4%"
"2021 Oct 04 12:00:00 AM","12 - 17 Years","39.67401986483","58%","49.1%"
"2021 Oct 04 12:00:00 AM","18 - 24 Years","32.95586257296","64.7%","54.7%"
"2021 Oct 04 12:00:00 AM","25 - 49 Years","36.88256450717","70.7%","61.9%"
"2021 Oct 04 12:00:00 AM","50 - 64 Years","27.93521871613","83.1%","75.3%"
"2021 Oct 04 12:00:00 AM","65+ Years","22.72257355259","93.7%","85.5%"
"2021 Oct 03 12:00:00 AM","<2 Years","13.77830722256","0%","0%"
"2021 Oct 03 12:00:00 AM","2 - 4 Years","32.87033717818","0%","0%"
"2021 Oct 03 12:00:00 AM","5 - 11 Years","40.21792154336","0.7%","0.4%"
"2021 Oct 03 12:00:00 AM","12 - 17 Years","40.64481272227","57.9%","49%"
"2021 Oct 03 12:00:00 AM","18 - 24 Years","33.69994943897","64.6%","54.6%"
"2021 Oct 03 12:00:00 AM","25 - 49 Years","37.36313245069","70.6%","61.8%"
"2021 Oct 03 12:00:00 AM","50 - 64 Years","28.19538954766","83%","75.3%"
"2021 Oct 03 12:00:00 AM","65+ Years","22.80000323778","93.6%","85.4%"
"2021 Oct 02 12:00:00 AM","<2 Years","13.80803121118","0%","0%"
"2021 Oct 02 12:00:00 AM","2 - 4 Years","33.29134182102","0%","0%"
"2021 Oct 02 12:00:00 AM","5 - 11 Years","40.69953420472","0.7%","0.4%"
"2021 Oct 02 12:00:00 AM","12 - 17 Years","41.25812538631","57.9%","48.9%"
"2021 Oct 02 12:00:00 AM","18 - 24 Years","34.07861117954","64.6%","54.5%"
"2021 Oct 02 12:00:00 AM","25 - 49 Years","37.7761060592","70.6%","61.7%"
"2021 Oct 02 12:00:00 AM","50 - 64 Years","28.41310667456","83%","75.2%"
"2021 Oct 02 12:00:00 AM","65+ Years","22.97151131179","93.6%","85.4%"
"2021 Oct 01 12:00:00 AM","<2 Years","13.94550465852","0%","0%"
"2021 Oct 01 12:00:00 AM","2 - 4 Years","33.69991172758","0%","0%"
"2021 Oct 01 12:00:00 AM","5 - 11 Years","40.98026567261","0.7%","0.4%"
"2021 Oct 01 12:00:00 AM","12 - 17 Years","41.82232735287","57.8%","48.7%"
"2021 Oct 01 12:00:00 AM","18 - 24 Years","34.43079968982","64.5%","54.4%"
"2021 Oct 01 12:00:00 AM","25 - 49 Years","38.03629795155","70.5%","61.6%"
"2021 Oct 01 12:00:00 AM","50 - 64 Years","28.60426185794","82.9%","75.2%"
"2021 Oct 01 12:00:00 AM","65+ Years","23.10496520605","93.5%","85.4%"
"2021 Sep 30 12:00:00 AM","<2 Years","13.73248274012","0%","0%"
"2021 Sep 30 12:00:00 AM","2 - 4 Years","33.07817491325","0%","0%"
"2021 Sep 30 12:00:00 AM","5 - 11 Years","40.45445914868","0.7%","0.4%"
"2021 Sep 30 12:00:00 AM","12 - 17 Years","41.53451582337","57.6%","48.5%"
"2021 Sep 30 12:00:00 AM","18 - 24 Years","33.90937160011","64.4%","54.3%"
"2021 Sep 30 12:00:00 AM","25 - 49 Years","36.96947150934","70.4%","61.5%"
"2021 Sep 30 12:00:00 AM","50 - 64 Years","27.61670241889","82.8%","75.1%"
"2021 Sep 30 12:00:00 AM","65+ Years","22.24346085894","93.4%","85.3%"
"2021 Sep 29 12:00:00 AM","<2 Years","13.96160515236","0%","0%"
"2021 Sep 29 12:00:00 AM","2 - 4 Years","33.39437249311","0%","0%"
"2021 Sep 29 12:00:00 AM","5 - 11 Years","40.72916418076","0.7%","0.4%"
"2021 Sep 29 12:00:00 AM","12 - 17 Years","42.15468114289","57.6%","48.4%"
"2021 Sep 29 12:00:00 AM","18 - 24 Years","34.52912883094","64.3%","54.1%"
"2021 Sep 29 12:00:00 AM","25 - 49 Years","37.07026775844","70.3%","61.3%"
"2021 Sep 29 12:00:00 AM","50 - 64 Years","27.62056184658","82.8%","75%"
"2021 Sep 29 12:00:00 AM","65+ Years","22.15863174992","93.3%","85.2%"
"2021 Sep 28 12:00:00 AM","<2 Years","13.6594112681","0%","0%"
"2021 Sep 28 12:00:00 AM","2 - 4 Years","32.43689779904","0%","0%"
"2021 Sep 28 12:00:00 AM","5 - 11 Years","39.84779794437","0.7%","0.4%"
"2021 Sep 28 12:00:00 AM","12 - 17 Years","41.53565793262","57.5%","48.3%"
"2021 Sep 28 12:00:00 AM","18 - 24 Years","33.52030966191","64.2%","54%"
"2021 Sep 28 12:00:00 AM","25 - 49 Years","35.72446587089","70.2%","61.2%"
"2021 Sep 28 12:00:00 AM","50 - 64 Years","26.48316580299","82.7%","74.9%"
"2021 Sep 28 12:00:00 AM","65+ Years","21.25880895793","93.2%","85.2%"
"2021 Sep 27 12:00:00 AM","<2 Years","13.52441481981","0%","0%"
"2021 Sep 27 12:00:00 AM","2 - 4 Years","31.86845271166","0%","0%"
"2021 Sep 27 12:00:00 AM","5 - 11 Years","39.30592092497","0.7%","0.4%"
"2021 Sep 27 12:00:00 AM","12 - 17 Years","41.27468597035","57.4%","48.1%"
"2021 Sep 27 12:00:00 AM","18 - 24 Years","32.89204317848","64.1%","53.8%"
"2021 Sep 27 12:00:00 AM","25 - 49 Years","34.72113312889","70.1%","61.1%"
"2021 Sep 27 12:00:00 AM","50 - 64 Years","25.57869757192","82.6%","74.8%"
"2021 Sep 27 12:00:00 AM","65+ Years","20.63355764343","93%","85.1%"
"2021 Sep 26 12:00:00 AM","<2 Years","13.63216427854","0%","0%"
"2021 Sep 26 12:00:00 AM","2 - 4 Years","32.22017810948","0%","0%"
"2021 Sep 26 12:00:00 AM","5 - 11 Years","39.70467009402","0.7%","0.4%"
"2021 Sep 26 12:00:00 AM","12 - 17 Years","41.95652518905","57.3%","48%"
"2021 Sep 26 12:00:00 AM","18 - 24 Years","33.53969184838","63.9%","53.7%"
"2021 Sep 26 12:00:00 AM","25 - 49 Years","35.14058838596","70%","61%"
"2021 Sep 26 12:00:00 AM","50 - 64 Years","25.90833810192","82.6%","74.7%"
"2021 Sep 26 12:00:00 AM","65+ Years","20.73054294877","92.9%","85%"
"2021 Sep 25 12:00:00 AM","<2 Years","14.28113802997","0%","0%"
"2021 Sep 25 12:00:00 AM","2 - 4 Years","33.19008753983","0%","0%"
"2021 Sep 25 12:00:00 AM","5 - 11 Years","40.75377212696","0.7%","0.4%"
"2021 Sep 25 12:00:00 AM","12 - 17 Years","43.40357760124","57.2%","47.9%"
"2021 Sep 25 12:00:00 AM","18 - 24 Years","34.93757295561","63.9%","53.7%"
"2021 Sep 25 12:00:00 AM","25 - 49 Years","36.43175923561","69.9%","60.9%"
"2021 Sep 25 12:00:00 AM","50 - 64 Years","26.84867630802","82.5%","74.7%"
"2021 Sep 25 12:00:00 AM","65+ Years","21.38803460999","92.8%","85%"
"2021 Sep 24 12:00:00 AM","<2 Years","14.74929085065","0%","0%"
"2021 Sep 24 12:00:00 AM","2 - 4 Years","34.37494026886","0%","0%"
"2021 Sep 24 12:00:00 AM","5 - 11 Years","42.06703292933","0.7%","0.4%"
"2021 Sep 24 12:00:00 AM","12 - 17 Years","44.81807989999","57.1%","47.8%"
"2021 Sep 24 12:00:00 AM","18 - 24 Years","36.89848294303","63.8%","53.6%"
"2021 Sep 24 12:00:00 AM","25 - 49 Years","38.3570734162","69.9%","60.8%"
"2021 Sep 24 12:00:00 AM","50 - 64 Years","28.2426107806","82.5%","74.6%"
"2021 Sep 24 12:00:00 AM","65+ Years","22.26301647909","92.8%","85%"
"2021 Sep 23 12:00:00 AM","<2 Years","14.93258878045","0%","0%"
"2021 Sep 23 12:00:00 AM","2 - 4 Years","34.86522415673","0%","0%"
"2021 Sep 23 12:00:00 AM","5 - 11 Years","42.48335920281","0.7%","0.4%"
"2021 Sep 23 12:00:00 AM","12 - 17 Years","45.64953542965","56.9%","47.5%"
"2021 Sep 23 12:00:00 AM","18 - 24 Years","38.00752219821","63.7%","53.4%"
"2021 Sep 23 12:00:00 AM","25 - 49 Years","39.27812890499","69.7%","60.7%"
"2021 Sep 23 12:00:00 AM","50 - 64 Years","28.81970873326","82.4%","74.5%"
"2021 Sep 23 12:00:00 AM","65+ Years","22.58594847669","92.7%","84.9%"
"2021 Sep 22 12:00:00 AM","<2 Years","14.94745077475","0%","0%"
"2021 Sep 22 12:00:00 AM","2 - 4 Years","35.04108685564","0%","0%"
"2021 Sep 22 12:00:00 AM","5 - 11 Years","42.71688359023","0.7%","0.4%"
"2021 Sep 22 12:00:00 AM","12 - 17 Years","46.11551600122","56.8%","47.3%"
"2021 Sep 22 12:00:00 AM","18 - 24 Years","38.24341758965","63.5%","53.2%"
"2021 Sep 22 12:00:00 AM","25 - 49 Years","39.34254855501","69.6%","60.5%"
"2021 Sep 22 12:00:00 AM","50 - 64 Years","28.69598002193","82.3%","74.4%"
"2021 Sep 22 12:00:00 AM","65+ Years","22.5013836328","92.6%","84.9%"
"2021 Sep 21 12:00:00 AM","<2 Years","15.61500201906","0%","0%"
"2021 Sep 21 12:00:00 AM","2 - 4 Years","36.376932811","0%","0%"
"2021 Sep 21 12:00:00 AM","5 - 11 Years","44.22499915027","0.7%","0.4%"
"2021 Sep 21 12:00:00 AM","12 - 17 Years","48.04910695138","56.7%","47.2%"
"2021 Sep 21 12:00:00 AM","18 - 24 Years","40.54800683475","63.4%","53.1%"
"2021 Sep 21 12:00:00 AM","25 - 49 Years","41.13492280076","69.5%","60.4%"
"2021 Sep 21 12:00:00 AM","50 - 64 Years","30.06221742519","82.3%","74.3%"
"2021 Sep 21 12:00:00 AM","65+ Years","23.4183836587","92.6%","84.8%"
"2021 Sep 20 12:00:00 AM","<2 Years","16.56616965474","0%","0%"
"2021 Sep 20 12:00:00 AM","2 - 4 Years","38.13200701831","0%","0%"
"2021 Sep 20 12:00:00 AM","5 - 11 Years","46.297088661","0.7%","0.4%"
"2021 Sep 20 12:00:00 AM","12 - 17 Years","50.71478992696","56.6%","47%"
"2021 Sep 20 12:00:00 AM","18 - 24 Years","43.76497705277","63.3%","52.9%"
"2021 Sep 20 12:00:00 AM","25 - 49 Years","43.91634370596","69.4%","60.2%"
"2021 Sep 20 12:00:00 AM","50 - 64 Years","31.92359669892","82.2%","74.2%"
"2021 Sep 20 12:00:00 AM","65+ Years","24.59277792819","92.5%","84.8%"
"2021 Sep 19 12:00:00 AM","<2 Years","17.46284331129","0%","0%"
"2021 Sep 19 12:00:00 AM","2 - 4 Years","39.92793821627","0%","0%"
"2021 Sep 19 12:00:00 AM","5 - 11 Years","48.39730153882","0.7%","0.4%"
"2021 Sep 19 12:00:00 AM","12 - 17 Years","53.36905181011","56.5%","46.8%"
"2021 Sep 19 12:00:00 AM","18 - 24 Years","46.46808296117","63.2%","52.7%"
"2021 Sep 19 12:00:00 AM","25 - 49 Years","46.04483772725","69.3%","60.1%"
"2021 Sep 19 12:00:00 AM","50 - 64 Years","33.33682830997","82.1%","74.1%"
"2021 Sep 19 12:00:00 AM","65+ Years","25.48440850093","92.5%","84.7%"
"2021 Sep 18 12:00:00 AM","<2 Years","17.65481073777","0%","0%"
"2021 Sep 18 12:00:00 AM","2 - 4 Years","40.5532278124","0%","0%"
"2021 Sep 18 12:00:00 AM","5 - 11 Years","49.43384849717","0.7%","0.4%"
"2021 Sep 18 12:00:00 AM","12 - 17 Years","55.11647895349","56.4%","46.7%"
"2021 Sep 18 12:00:00 AM","18 - 24 Years","48.09287747099","63.1%","52.6%"
"2021 Sep 18 12:00:00 AM","25 - 49 Years","46.77554439393","69.2%","60%"
"2021 Sep 18 12:00:00 AM","50 - 64 Years","33.6685120664","82.1%","74.1%"
"2021 Sep 18 12:00:00 AM","65+ Years","25.59355000258","92.5%","84.7%"
"2021 Sep 17 12:00:00 AM","<2 Years","17.53467628378","0%","0%"
"2021 Sep 17 12:00:00 AM","2 - 4 Years","39.84977701676","0%","0%"
"2021 Sep 17 12:00:00 AM","5 - 11 Years","48.95324024177","0.7%","0.4%"
"2021 Sep 17 12:00:00 AM","12 - 17 Years","55.04966556272","56.3%","46.4%"
"2021 Sep 17 12:00:00 AM","18 - 24 Years","47.28166205672","63%","52.5%"
"2021 Sep 17 12:00:00 AM","25 - 49 Years","45.70752744483","69.1%","59.9%"
"2021 Sep 17 12:00:00 AM","50 - 64 Years","32.68549313052","82%","74%"
"2021 Sep 17 12:00:00 AM","65+ Years","24.90461079003","92.4%","84.7%"
"2021 Sep 16 12:00:00 AM","<2 Years","17.79104568558","0%","0%"
"2021 Sep 16 12:00:00 AM","2 - 4 Years","40.25124135972","0%","0%"
"2021 Sep 16 12:00:00 AM","5 - 11 Years","49.56191025801","0.7%","0.4%"
"2021 Sep 16 12:00:00 AM","12 - 17 Years","56.27457772695","56.1%","46.1%"
"2021 Sep 16 12:00:00 AM","18 - 24 Years","48.08767737218","62.8%","52.3%"
"2021 Sep 16 12:00:00 AM","25 - 49 Years","46.1354485286","69%","59.7%"
"2021 Sep 16 12:00:00 AM","50 - 64 Years","32.80808671606","81.9%","73.9%"
"2021 Sep 16 12:00:00 AM","65+ Years","24.96724162753","92.4%","84.6%"
"2021 Sep 15 12:00:00 AM","<2 Years","18.58368538198","0%","0%"
"2021 Sep 15 12:00:00 AM","2 - 4 Years","41.67413046909","0%","0%"
"2021 Sep 15 12:00:00 AM","5 - 11 Years","52.16432611953","0.7%","0.4%"
"2021 Sep 15 12:00:00 AM","12 - 17 Years","60.09664631213","55.9%","45.9%"
"2021 Sep 15 12:00:00 AM","18 - 24 Years","50.66692638166","62.7%","52.1%"
